"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"4446";"T001038";"GM0482";"2014JJ00";"   19845"
"4447";"T001038";"GM0482";"2015JJ00";"   19955"
"4448";"T001038";"GM0482";"2016JJ00";"   20008"
"4449";"T001038";"GM0482";"2017JJ00";"   20014"
"4450";"T001038";"GM0482";"2018JJ00";"   20069"
"4451";"T001038";"GM0482";"2019JJ00";"   20165"
"4452";"T001038";"GM0482";"2020JJ00";"   20136"
"4507";"T001038";"GM0613";"2014JJ00";"   25148"
"4508";"T001038";"GM0613";"2015JJ00";"   24985"
"4509";"T001038";"GM0613";"2016JJ00";"   25105"
"4510";"T001038";"GM0613";"2017JJ00";"   25218"
"4511";"T001038";"GM0613";"2018JJ00";"   25271"
"4512";"T001038";"GM0613";"2019JJ00";"   25590"
"4513";"T001038";"GM0613";"2020JJ00";"   25814"
"4568";"T001038";"GM0483";"2014JJ00";""
"4569";"T001038";"GM0483";"2015JJ00";""
"4570";"T001038";"GM0483";"2016JJ00";""
"4571";"T001038";"GM0483";"2017JJ00";""
"4572";"T001038";"GM0483";"2018JJ00";""
"4573";"T001038";"GM0483";"2019JJ00";""
"4574";"T001038";"GM0483";"2020JJ00";""
"4629";"T001038";"GM0361";"2014JJ00";"   95248"
"4630";"T001038";"GM0361";"2015JJ00";"  107615"
"4631";"T001038";"GM0361";"2016JJ00";"  108373"
"4632";"T001038";"GM0361";"2017JJ00";"  108470"
"4633";"T001038";"GM0361";"2018JJ00";"  108558"
"4634";"T001038";"GM0361";"2019JJ00";"  109436"
"4635";"T001038";"GM0361";"2020JJ00";"  109896"
"4690";"T001038";"GM0141";"2014JJ00";"   72291"
"4691";"T001038";"GM0141";"2015JJ00";"   72425"
"4692";"T001038";"GM0141";"2016JJ00";"   72479"
"4693";"T001038";"GM0141";"2017JJ00";"   72629"
"4694";"T001038";"GM0141";"2018JJ00";"   72849"
"4695";"T001038";"GM0141";"2019JJ00";"   73107"
"4696";"T001038";"GM0141";"2020JJ00";"   73132"
"4751";"T001038";"GM0034";"2014JJ00";"  196932"
"4752";"T001038";"GM0034";"2015JJ00";"  198145"
"4753";"T001038";"GM0034";"2016JJ00";"  200914"
"4754";"T001038";"GM0034";"2017JJ00";"  203990"
"4755";"T001038";"GM0034";"2018JJ00";"  207904"
"4756";"T001038";"GM0034";"2019JJ00";"  211893"
"4757";"T001038";"GM0034";"2020JJ00";"  214715"
"4812";"T001038";"GM0740";"2014JJ00";""
"4813";"T001038";"GM0740";"2015JJ00";""
"4814";"T001038";"GM0740";"2016JJ00";""
"4815";"T001038";"GM0740";"2017JJ00";""
"4816";"T001038";"GM0740";"2018JJ00";""
