,Origin,Destination,Year,Commuters,Distance,Origin Pop,Destination Pop
0,1680,1680,2018,7.649692623711514,1.4350845252893227,10.141953119948122,10.141953119948122
1,1680,200,2018,4.605170185988092,4.786658062033468,10.141953119948122,11.998094761922433
2,1680,106,2018,7.696212639346407,2.617395832834079,10.141953119948122,11.126718718425458
3,1680,1681,2018,5.703782474656201,2.580216829592325,10.141953119948122,10.141401482753787
4,1680,109,2018,4.605170185988092,3.728100167267218,10.141953119948122,10.476808987527663
5,1680,148,2018,4.605170185988092,4.225372824628505,10.141953119948122,10.257624277921856
6,1680,10,2018,4.605170185988092,3.7232808808312687,10.141953119948122,10.115206086180871
7,1680,114,2018,6.214608098422191,3.4468078929142076,10.141953119948122,11.581639630955744
8,1680,14,2018,7.313220387090301,3.3105430133940246,10.141953119948122,12.224987624080786
9,1680,17,2018,4.605170185988092,3.0349529867072724,10.141953119948122,9.912992239550373
10,1680,118,2018,5.298317366548036,3.7887247890836524,10.141953119948122,10.927052966881327
11,1680,119,2018,4.605170185988092,4.069026754237811,10.141953119948122,10.42120934298996
12,1680,1731,2018,5.298317366548036,3.152736022363656,10.141953119948122,10.40964228465222
13,1680,1952,2018,5.703782474656201,3.0106208860477417,10.141953119948122,11.016972033201926
14,1680,1699,2018,4.605170185988092,3.3568971227655755,10.141953119948122,10.351053836662928
15,1680,1895,2018,4.605170185988092,3.3775875160230218,10.141953119948122,10.548730426438988
16,1680,765,2018,4.605170185988092,2.9444389791664403,10.141953119948122,9.41033811378308
17,1680,37,2018,5.991464547107982,2.4849066497880004,10.141953119948122,10.366875596977243
18,1680,1730,2018,6.551080335043404,2.5494451709255714,10.141953119948122,10.42519376739833
19,1680,47,2018,5.991464547107982,2.6602595372658615,10.141953119948122,10.221613957361983
20,1680,1701,2018,4.605170185988092,3.7184382563554808,10.141953119948122,9.870344333942874
21,1680,1950,2018,4.605170185988092,3.3178157727231046,10.141953119948122,10.13455959017246
22,1680,193,2018,4.605170185988092,4.383275854074314,10.141953119948122,11.755848113892032
23,738,738,2018,7.549609165154532,0.5306282510621704,9.497097016351463,9.497097016351463
24,738,758,2018,4.605170185988092,3.5553480614894135,9.497097016351463,12.12200058089013
25,738,772,2018,4.605170185988092,3.9080149840306073,9.497097016351463,12.35294835538983
26,738,779,2018,4.605170185988092,2.990719731730447,9.497097016351463,9.9765056452727
27,738,512,2018,4.605170185988092,2.990719731730447,9.497097016351463,10.510041450510977
28,738,796,2018,5.991464547107982,2.975529566236472,9.497097016351463,11.946038165007204
29,738,797,2018,5.298317366548036,2.3608540011180215,9.497097016351463,10.695008397454334
30,738,809,2018,4.605170185988092,2.766319109226186,9.497097016351463,10.057366766948556
